# ----------------------------------------
# Reports snapshot
# Account: hrittane soufiane
# Property: casse-vhu
# ----------------------------------------
#  
# Start date: 20260901
# End date: 20260910
Active users,New users,Average engagement time per active user,Event count
136,129,20.720588235294116,720

#  
# Start date: 20260901
# End date: 20260910
Page title and screen class,Views,Active users,Event count,Bounce rate
Accueil,187,129,578,0.5548387096774193
Services | Casse-VHU,15,15,29,0.06666666666666667
Blog | Casse-VHU,9,7,18,0.25
"Enlèvement d'épaves à Calais, Boulogne-sur-Mer, Arras, Lens, Béthune, Saint-Omer | Casse-VHU",7,3,11,0.6
Zones d'intervention | Casse-VHU,7,6,11,0
Contact | Casse-VHU,6,6,11,0.16666666666666666
Prime à la conversion 2024 : conditions et démarches | Casse-VHU,5,1,12,0.3333333333333333
À Propos | Casse-VHU,5,5,8,0
"Enlèvement d'épaves à Bordeaux, Mérignac, Pessac, Talence, Bègles, Villenave-d'Ornon | Casse-VHU",4,3,8,0
"Enlèvement d'épaves à La Roche-sur-Yon, Les Sables-d'Olonne, Challans, Fontenay-le-Comte, Les Herbiers | Casse-VHU",4,2,12,0.3333333333333333
Enlèvement d'épaves à Auvergne Rhône Alpes | Casse-VHU,2,2,2,0
Enlèvement d'épaves à Bouches-du-Rhône (13) | Casse-VHU,2,2,3,0
Enlèvement d'épaves à Vendée (85) | Casse-VHU,2,1,6,0.5
Comment bien préparer votre véhicule avant l'enlèvement d'épave | Casse-VHU,1,1,2,0
"Enchères automobiles : youngtimers, anciennes et pépites rares à saisir en Dordogne | Casse-VHU",1,1,3,0
Enlèvement d'épaves à Ille-et-Vilaine (35) | Casse-VHU,1,1,3,0
Enlèvement d'épaves à le Nord | Casse-VHU,1,1,2,0
Les nouvelles réglementations VHU 2024 : ce qui change | Casse-VHU,1,1,1,0

#  
# Start date: 20260901
# End date: 20260910
First user source / medium,Active users
google / organic,83
(direct) / (none),42
(data not available),3
chatgpt.com / ai-assistant,3
vercel.com / referral,2

#  
# Start date: 20260901
# End date: 20260910
Session source/medium,Sessions
google / organic,96
(direct) / (none),54
vercel.com / referral,7
chatgpt.com / ai-assistant,6
(data not available),3

#  
# Start date: 20260901
# End date: 20260910
Nth day,new,returning
0000,12,3
0001,12,2
0002,15,1
0003,15,5
0004,11,0
0005,8,3
0006,11,4
0007,17,1
0008,22,2
0009,6,0

# How does activity on your platforms compare?
# Start date: 20260901
# End date: 20260910
Platform,Key events


#  
# Start date: 20260901
# End date: 20260910
Town/City,Active users
Paris,29
Lille,24
Grenoble,7
La Roche-sur-Yon,5
Tangier,5
Berlin,4
La Chaize-le-Vicomte,3
Nice,3
Les Sables-d'Olonne,2
Lyon,2
Agen,1
Angres,1
Armentieres,1
Ashburn,1
Banyuresmi,1
Brussels,1
Challans,1
Chateaudun,1
Columbus,1
Cysoing,1
Dhaka,1
Dunkirk,1
Fes,1
Le Havre,1
Le Poire-sur-Vie,1
Lens,1
Lesquin,1
Marrakesh,1
Meknes,1
Menen,1
Meylan,1
Montpellier,1
Mouilleron-le-Captif,1
Naaldwijk,1
Nantes,1
New York,1
Nimes,1
Perenchies,1
Pont-a-Celles,1
Rennes,1
Rouen,1
Saint-Andre-lez-Lille,1
Saint-Etienne-du-Rouvray,1
Saint-Hilaire-de-Riez,1
Saint-Ismier,1
Sainte-Flaive-des-Loups,1
Sale,1
Sambi,1
Sassenage,1
Talmont-Saint-Hilaire,1
Tourcoing,1
Villeneuve-d'Ascq,1

#  
# Start date: 20260901
# End date: 20260910
Audience name,Active users
All Users,136
