Date,Clicks,Impressions,CTR,Position
2026-03-09,0,44,0%,24.2
2026-03-10,1,82,1.22%,15
2026-03-11,0,55,0%,19.7
2026-03-12,1,90,1.11%,20.8
2026-03-13,5,65,7.69%,15.8
2026-03-14,1,62,1.61%,28
2026-03-15,0,35,0%,19.5
2026-03-16,0,61,0%,17.3
2026-03-17,0,85,0%,13.8
2026-03-18,1,87,1.15%,18.9
2026-03-19,0,60,0%,21.5
2026-03-20,1,53,1.89%,21.1
2026-03-21,0,46,0%,22.7
2026-03-22,1,40,2.5%,21
2026-03-23,1,61,1.64%,14.3
2026-03-24,0,77,0%,13.4
2026-03-25,2,50,4%,11.8
2026-03-26,0,55,0%,15.3
2026-03-27,4,56,7.14%,15.8
2026-03-28,0,33,0%,16.4
2026-03-29,1,65,1.54%,14.1
2026-03-30,1,98,1.02%,17.3
2026-03-31,1,79,1.27%,12.9
2026-04-01,1,114,0.88%,19
2026-04-02,1,62,1.61%,17.3
2026-04-03,0,46,0%,21.6
2026-04-04,4,58,6.9%,19.2
2026-04-05,2,58,3.45%,33.9
2026-04-06,0,69,0%,17.3
2026-04-07,1,82,1.22%,20.7
2026-04-08,1,83,1.2%,18.1
2026-04-09,1,121,0.83%,23.6
2026-04-10,1,75,1.33%,24.2
2026-04-11,1,59,1.69%,26.9
2026-04-12,0,90,0%,28.4
2026-04-13,1,91,1.1%,14.9
2026-04-14,0,107,0%,30.4
2026-04-15,1,68,1.47%,27.6
2026-04-16,1,85,1.18%,20.3
2026-04-17,0,65,0%,18.6
2026-04-18,1,58,1.72%,27.2
2026-04-19,2,91,2.2%,21.6
2026-04-20,3,95,3.16%,21.4
2026-04-21,2,95,2.11%,23.1
2026-04-22,0,107,0%,27.8
2026-04-23,1,81,1.23%,20.3
2026-04-24,3,124,2.42%,24.1
2026-04-25,0,40,0%,24.5
2026-04-26,1,80,1.25%,34.4
2026-04-27,0,70,0%,20.9
2026-04-28,0,60,0%,20.5
2026-04-29,2,70,2.86%,17.3
2026-04-30,0,49,0%,20.4
2026-05-01,0,56,0%,25.6
2026-05-02,0,34,0%,22.1
2026-05-03,0,38,0%,42.2
2026-05-04,1,65,1.54%,16.4
2026-05-05,0,80,0%,26.2
2026-05-06,0,66,0%,26.8
2026-05-07,0,56,0%,22.5
2026-05-08,1,57,1.75%,26.7
2026-05-09,0,49,0%,18.9
2026-05-10,0,82,0%,20.3
2026-05-11,1,111,0.9%,19
2026-05-12,0,107,0%,18.7
2026-05-13,1,96,1.04%,18.3
2026-05-14,1,77,1.3%,20.5
2026-05-15,1,83,1.2%,18.3
2026-05-16,2,82,2.44%,18.7
2026-05-17,1,88,1.14%,15.1
2026-05-18,2,94,2.13%,16
2026-05-19,1,68,1.47%,12.4
2026-05-20,2,74,2.7%,12.9
2026-05-21,1,110,0.91%,20.7
2026-05-22,0,91,0%,19.1
2026-05-23,0,59,0%,24.2
2026-05-24,0,54,0%,26.1
2026-05-25,1,51,1.96%,16.3
2026-05-26,1,77,1.3%,24
2026-05-27,0,61,0%,24.2
2026-05-28,0,66,0%,27.6
2026-05-29,2,56,3.57%,25.7
2026-05-30,0,55,0%,26.8
2026-05-31,1,118,0.85%,15.2
2026-06-01,2,248,0.81%,10.1
2026-06-02,4,283,1.41%,11.5
2026-06-03,4,225,1.78%,10.3
2026-06-04,5,254,1.97%,10.3
2026-06-05,2,260,0.77%,11.6
2026-06-06,5,304,1.64%,8
2026-06-07,6,194,3.09%,12.4
2026-06-08,2,265,0.75%,10.3
2026-06-09,4,232,1.72%,11.8
2026-06-10,4,283,1.41%,9
2026-06-11,5,256,1.95%,8.4
2026-06-12,0,246,0%,10.5
2026-06-13,3,287,1.05%,6.1
2026-06-14,4,192,2.08%,10.4
2026-06-15,5,346,1.45%,6.2
2026-06-16,3,346,0.87%,6.9
2026-06-17,6,263,2.28%,6.1
2026-06-18,5,323,1.55%,7.9
2026-06-19,7,249,2.81%,14.2
2026-06-20,10,222,4.5%,6.2
2026-06-21,3,154,1.95%,11.5
2026-06-22,9,300,3%,8.7
2026-06-23,3,235,1.28%,8.6
2026-06-24,4,220,1.82%,10.7
2026-06-25,6,265,2.26%,8.6
2026-06-26,5,275,1.82%,9.9
2026-06-27,3,259,1.16%,6
2026-06-28,1,155,0.65%,7.9
2026-06-29,7,382,1.83%,4.9
2026-06-30,4,346,1.16%,5.4
2026-07-01,8,392,2.04%,7.7
2026-07-02,5,370,1.35%,7.4
2026-07-03,9,453,1.99%,10.6
2026-07-04,8,470,1.7%,7.9
2026-07-05,4,251,1.59%,11.4
2026-07-06,7,564,1.24%,7.8
2026-07-07,11,554,1.99%,10.5
2026-07-08,8,451,1.77%,8.2
2026-07-09,6,448,1.34%,12.2
2026-07-10,2,435,0.46%,8.2
