Country,Clicks,Impressions,CTR,Position
France,911,47616,1.91%,13.53
Belgium,22,673,3.27%,6.47
Morocco,9,52,17.31%,8.67
Netherlands,3,287,1.05%,5.25
Portugal,3,17,17.65%,30.24
Spain,2,75,2.67%,19.51
Germany,2,51,3.92%,18.31
Algeria,2,35,5.71%,35.37
United States,1,1079,0.09%,40.75
Italy,1,59,1.69%,15.53
Greece,1,10,10%,57.5
Romania,1,9,11.11%,11.78
India,0,276,0%,64.69
Indonesia,0,168,0%,70.64
Philippines,0,149,0%,69.87
United Kingdom,0,64,0%,25.3
Bangladesh,0,47,0%,74.79
Canada,0,43,0%,30.58
Brazil,0,43,0%,35.37
South Korea,0,43,0%,63.07
Vietnam,0,39,0%,61.41
Switzerland,0,31,0%,10.45
Argentina,0,29,0%,51.76
Réunion,0,27,0%,8.56
Colombia,0,25,0%,60.52
Ethiopia,0,21,0%,66.71
Poland,0,19,0%,13.21
Egypt,0,19,0%,67.79
Pakistan,0,16,0%,57.25
Ecuador,0,15,0%,69.07
Russia,0,14,0%,45.71
Bolivia,0,13,0%,69.54
Mexico,0,12,0%,23.33
Thailand,0,11,0%,38.91
Bulgaria,0,11,0%,43.09
Ukraine,0,11,0%,62.55
Martinique,0,10,0%,9.1
Malaysia,0,10,0%,27.2
China,0,10,0%,27.5
Sweden,0,10,0%,41
Saudi Arabia,0,10,0%,58.5
Kenya,0,10,0%,66.7
Luxembourg,0,9,0%,3
Peru,0,9,0%,31.33
Turkey,0,9,0%,49.44
Uzbekistan,0,9,0%,64.67
Guatemala,0,9,0%,65.44
Tunisia,0,8,0%,7.62
Czechia,0,8,0%,17.62
United Arab Emirates,0,8,0%,54.5
Taiwan,0,8,0%,56.88
Dominican Republic,0,8,0%,60.25
Singapore,0,7,0%,5.43
Ireland,0,7,0%,19.43
Chile,0,7,0%,33.71
Guadeloupe,0,6,0%,6
Nigeria,0,6,0%,69.83
Israel,0,6,0%,72.17
Armenia,0,6,0%,81
Austria,0,5,0%,2.8
Lithuania,0,5,0%,15.6
Hong Kong,0,5,0%,20.8
Japan,0,5,0%,30.8
Venezuela,0,5,0%,38.6
Iraq,0,5,0%,41.6
South Africa,0,4,0%,45.75
Nepal,0,4,0%,46.75
Jordan,0,4,0%,83.5
Australia,0,3,0%,20.33
Uruguay,0,3,0%,58.67
Hungary,0,3,0%,62.33
Cambodia,0,3,0%,67.67
Norway,0,3,0%,69
Senegal,0,2,0%,1.5
Congo - Brazzaville,0,2,0%,4.5
New Caledonia,0,2,0%,4.5
Cameroon,0,2,0%,5.5
Finland,0,2,0%,6.5
Iran,0,2,0%,6.5
Burkina Faso,0,2,0%,10
Panama,0,2,0%,23.5
Sri Lanka,0,2,0%,38.5
Slovakia,0,2,0%,40
Congo - Kinshasa,0,2,0%,44.5
Benin,0,2,0%,51
Honduras,0,2,0%,59
Ghana,0,2,0%,68.5
Georgia,0,2,0%,73.5
Kosovo,0,2,0%,80
Namibia,0,2,0%,91.5
Kuwait,0,2,0%,94
Djibouti,0,1,0%,1
Mali,0,1,0%,1
Trinidad & Tobago,0,1,0%,1
Cuba,0,1,0%,2
Curaçao,0,1,0%,2
Paraguay,0,1,0%,3
Guinea,0,1,0%,4
Monaco,0,1,0%,4
Albania,0,1,0%,5
Syria,0,1,0%,5
Puerto Rico,0,1,0%,6
Qatar,0,1,0%,6
Serbia,0,1,0%,6
Denmark,0,1,0%,7
Madagascar,0,1,0%,7
Maldives,0,1,0%,7
French Polynesia,0,1,0%,7
St. Pierre & Miquelon,0,1,0%,9
Montenegro,0,1,0%,10
Mayotte,0,1,0%,11
Haiti,0,1,0%,29
Palestine,0,1,0%,43
Slovenia,0,1,0%,43
Bosnia & Herzegovina,0,1,0%,45
Côte d’Ivoire,0,1,0%,47
Costa Rica,0,1,0%,49
El Salvador,0,1,0%,50
Togo,0,1,0%,56
Unknown Region,0,1,0%,56
Croatia,0,1,0%,68
Brunei,0,1,0%,76
Burundi,0,1,0%,79
Afghanistan,0,1,0%,80
Bahrain,0,1,0%,80
Lebanon,0,1,0%,80
Belarus,0,1,0%,86
Rwanda,0,1,0%,89
Fiji,0,1,0%,90
Oman,0,1,0%,96
Botswana,0,1,0%,98
